modality,level,metric,enhanced_change,no_noise_change,difference,ci95_low,ci95_high
emg,2.0,log_loss,-0.00811933229751205,0.11507933377875973,-0.12319866607627178,-0.21394861736732326,-0.040252831314446326
table,0.0,roc_auc,0.0,0.0,0.0,0.0,0.0
table,0.0,accuracy,0.0,0.0,0.0,0.0,0.0
table,0.0,sensitivity,0.0,0.0,0.0,0.0,0.0
table,0.0,specificity,0.0,0.0,0.0,0.0,0.0
table,0.0,balanced_accuracy,0.0,0.0,0.0,0.0,0.0
table,0.0,f1,0.0,0.0,0.0,0.0,0.0
table,0.0,brier,0.0,0.0,0.0,0.0,0.0
table,0.0,log_loss,0.0,0.0,0.0,0.0,0.0
table,0.25,roc_auc,0.0007012622720897754,-0.007246376811594235,0.00794763908368401,-0.006077606358111276,0.023141654978962256
table,0.25,accuracy,-0.0235294117647058,-0.02352941176470602,2.220446049250313e-16,-0.03529411764705903,0.039215686274509554
table,0.25,sensitivity,-0.016129032258064613,-0.032258064516129004,0.01612903225806439,-0.016129032258064502,0.053763440860215006
table,0.25,specificity,-0.0434782608695653,0.0,-0.0434782608695653,-0.1449275362318841,0.0579710144927536
table,0.25,balanced_accuracy,-0.029803646563814845,-0.016129032258064613,-0.013674614305750232,-0.06895745675549325,0.03892005610098159
table,0.25,f1,-0.01538461538461533,-0.01729509295777243,0.0019104775731570989,-0.022063011509584833,0.02699187405389474
table,0.25,brier,0.0035995036074823183,0.004634935943441498,-0.00103543233595918,-0.0026208280253601705,0.0006088744381403826
table,0.25,log_loss,0.003027447269861372,0.0066152391559168855,-0.0035877918860555136,-0.00885628594643565,0.0009326131754946684
table,0.5,roc_auc,-0.007012622720897532,-0.020336605890603154,0.013323983169705622,-0.0030388031790556935,0.03179055633473571
table,0.5,accuracy,-0.04313725490196063,-0.02352941176470602,-0.01960784313725461,-0.06274509803921557,0.019607843137254943
table,0.5,sensitivity,-0.032258064516129115,-0.043010752688172005,0.01075268817204289,-0.021505376344086002,0.048387096774193505
table,0.5,specificity,-0.07246376811594202,0.02898550724637672,-0.10144927536231874,-0.23188405797101463,1.124100812432769e-16
table,0.5,balanced_accuracy,-0.052360916316035455,-0.007012622720897532,-0.04534829359513792,-0.1151238896680693,0.010752688172043112
table,0.5,f1,-0.02846868499273969,-0.018581291753584916,-0.009887393239154774,-0.03650199584442392,0.01624359656291135
table,0.5,brier,0.00855945121649379,0.010737067208955092,-0.0021776159924613014,-0.006244695753451848,0.001734695883515232
table,0.5,log_loss,0.01518064168797889,0.021048374742294818,-0.005867733054315927,-0.017852851623545756,0.004674502099126104
table,1.0,roc_auc,-0.04230949041608223,-0.05469845722300137,0.012388966806919144,-0.011687704534829257,0.037868162692847096
table,1.0,accuracy,-0.06274509803921569,-0.04313725490196085,-0.019607843137254832,-0.06274509803921569,0.019607843137254943
table,1.0,sensitivity,-0.037634408602150615,-0.037634408602150504,-1.1102230246251565e-16,-0.021505376344086002,0.021505376344086002
table,1.0,specificity,-0.13043478260869573,-0.0579710144927536,-0.07246376811594213,-0.2318840579710144,0.05797101449275366
table,1.0,balanced_accuracy,-0.08403459560542315,-0.04780271154745208,-0.036231884057971064,-0.11325385694249657,0.03167367928938758
table,1.0,f1,-0.040326340326340304,-0.029141943130936543,-0.011184397195403761,-0.03757139339521144,0.012666755020437572
table,1.0,brier,0.024606499663069784,0.02697985526916294,-0.0023733556060931554,-0.011227284137142973,0.005398440005946775
table,1.0,log_loss,0.06182425369076794,0.06496195353845574,-0.0031376998476878026,-0.025061235952795458,0.01654377675835357
