modality,level,metric,enhanced_change,no_noise_change,difference,ci95_low,ci95_high
emg,2.0,log_loss,-0.00811933229751205,0.14150024868630273,-0.14961958098381478,-0.24062188360475795,-0.06448906128977401
table,0.0,roc_auc,0.0,0.0,0.0,0.0,0.0
table,0.0,accuracy,0.0,0.0,0.0,0.0,0.0
table,0.0,sensitivity,0.0,0.0,0.0,0.0,0.0
table,0.0,specificity,0.0,0.0,0.0,0.0,0.0
table,0.0,balanced_accuracy,0.0,0.0,0.0,0.0,0.0
table,0.0,f1,0.0,0.0,0.0,0.0,0.0
table,0.0,brier,0.0,0.0,0.0,0.0,0.0
table,0.0,log_loss,0.0,0.0,0.0,0.0,0.0
table,0.25,roc_auc,0.0007012622720897754,-0.0032725572697522853,0.003973819541842061,-0.0133239831697054,0.01963534361851349
table,0.25,accuracy,-0.0235294117647058,-0.03921568627450989,0.015686274509804088,-0.019705882352941333,0.05490196078431375
table,0.25,sensitivity,-0.016129032258064613,-0.053763440860215006,0.03763440860215039,0.005376344086021501,0.07526881720430123
table,0.25,specificity,-0.0434782608695653,0.0,-0.0434782608695653,-0.1449275362318841,0.0579710144927536
table,0.25,balanced_accuracy,-0.029803646563814845,-0.026881720430107614,-0.002921926133707231,-0.05820476858345003,0.049438990182328224
table,0.25,f1,-0.01538461538461533,-0.029126212737299317,0.013741597352683987,-0.010932929626070875,0.040869447210433764
table,0.25,brier,0.0035995036074823183,0.0033250344615220334,0.00027446914596028493,-0.0014706330055086932,0.00214974192301284
table,0.25,log_loss,0.003027447269861372,0.0058589098277803675,-0.0028314625579189956,-0.010601720432100309,0.0034877076359120236
table,0.5,roc_auc,-0.007012622720897532,-0.011687704534829368,0.004675081813931836,-0.016129032258064394,0.025712949976624433
table,0.5,accuracy,-0.04313725490196063,-0.03529411764705892,-0.007843137254901711,-0.05490196078431375,0.03529411764705903
table,0.5,sensitivity,-0.032258064516129115,-0.043010752688172005,0.01075268817204289,-0.032258064516129004,0.05376344086021512
table,0.5,specificity,-0.07246376811594202,-0.01449275362318836,-0.05797101449275366,-0.20289855072463767,0.05797101449275366
table,0.5,balanced_accuracy,-0.052360916316035455,-0.028751753155680237,-0.023609163160355218,-0.09794296400187019,0.03973819541841961
table,0.5,f1,-0.02846868499273969,-0.025400029359953002,-0.0030686556327866876,-0.03398492346191277,0.027266375199557807
table,0.5,brier,0.00855945121649379,0.007492665438901772,0.0010667857775920192,-0.002333889270455646,0.0046621892235075004
table,0.5,log_loss,0.01518064168797889,0.018438626459548635,-0.003257984771569744,-0.01842287712534014,0.00942737173013478
table,1.0,roc_auc,-0.04230949041608223,-0.04791958859280043,0.005610098176718203,-0.017531556802244164,0.02781673679289387
table,1.0,accuracy,-0.06274509803921569,-0.05882352941176483,-0.0039215686274508554,-0.05098039215686245,0.03921568627450989
table,1.0,sensitivity,-0.037634408602150615,-0.037634408602150504,-1.1102230246251565e-16,-0.037634408602150504,0.043010752688172005
table,1.0,specificity,-0.13043478260869573,-0.1159420289855072,-0.014492753623188526,-0.14492753623188415,0.10144927536231879
table,1.0,balanced_accuracy,-0.08403459560542315,-0.0767882187938288,-0.007246376811594346,-0.07702197288452561,0.05317905563347347
table,1.0,f1,-0.040326340326340304,-0.0376489400100265,-0.002677400316313805,-0.0318478094268979,0.026096145450018975
table,1.0,brier,0.024606499663069784,0.021820202419718285,0.0027862972433514988,-0.003312184887088231,0.008608600542811795
table,1.0,log_loss,0.06182425369076794,0.061957370348740326,-0.00013311665797238748,-0.024745746985624765,0.02113935844166552
