seed,modality,fold,label,target,n,pearson,spearman
42,us,3,1,abs_gap,12,0.9936748892256457,0.9370629370629372
42,us,4,-1,loss,17,0.386540062002852,-0.26470588235294124
42,us,4,-1,offset,17,0.9387874012569274,0.9044117647058825
42,us,4,-1,abs_gap,17,0.9606306002733597,0.9730392156862747
42,us,4,0,loss,5,0.9868717149161468,0.9999999999999999
42,us,4,0,offset,5,0.9605662233270057,0.8999999999999998
42,us,4,0,abs_gap,5,0.9841318045657537,0.9999999999999999
42,us,4,1,loss,12,-0.8710083072116702,-0.965034965034965
42,us,4,1,offset,12,0.9436334724016961,0.9230769230769231
42,us,4,1,abs_gap,12,0.9689614276129681,0.965034965034965
43,emg,-1,-1,loss,85,0.10435261365441478,-0.25462184873949584
43,emg,-1,-1,offset,85,0.9686891765991209,0.9853234316982608
43,emg,-1,-1,abs_gap,85,0.8004420975850861,0.6688098495212038
43,emg,-1,0,loss,23,0.7853030286106681,0.8013833992094862
43,emg,-1,0,offset,23,0.9747250032790221,0.9594861660079053
43,emg,-1,0,abs_gap,23,0.8393631278234979,0.8685770750988143
43,emg,-1,1,loss,62,-0.5786060532578015,-0.6414595452141724
43,emg,-1,1,offset,62,0.9664783381797003,0.9854448389614968
43,emg,-1,1,abs_gap,62,0.7849458766963385,0.586814736471003
43,emg,0,-1,loss,17,-0.15357904002472322,-0.41421568627450983
43,emg,0,-1,offset,17,0.9686049336617694,0.9803921568627453
43,emg,0,-1,abs_gap,17,0.8720041736382641,0.6593137254901962
43,emg,0,0,loss,4,0.9392312615802191,1.0
43,emg,0,0,offset,4,0.9956790568272242,1.0
43,emg,0,0,abs_gap,4,0.9640651212913602,1.0
43,emg,0,1,loss,13,-0.6720444727333303,-0.7967032967032966
43,emg,0,1,offset,13,0.966065542222099,0.9780219780219779
43,emg,0,1,abs_gap,13,0.8647258248851698,0.5879120879120878
43,emg,1,-1,loss,17,-0.14844141191639143,-0.482843137254902
43,emg,1,-1,offset,17,0.9809593534627199,0.9730392156862747
43,emg,1,-1,abs_gap,17,0.8384191181969416,0.6102941176470589
43,emg,1,0,loss,4,0.6211585763505709,0.39999999999999997
43,emg,1,0,offset,4,0.9459009567212551,1.0
43,emg,1,0,abs_gap,4,0.606499930998141,0.39999999999999997
43,emg,1,1,loss,13,-0.9052878804322844,-0.7307692307692307
43,emg,1,1,offset,13,0.9864391959475369,0.9725274725274725
43,emg,1,1,abs_gap,13,0.904887258636754,0.7307692307692307
43,emg,2,-1,loss,17,0.7276238884855327,0.28186274509803927
43,emg,2,-1,offset,17,0.8831068577935479,0.9779411764705883
43,emg,2,-1,abs_gap,17,0.8155864417092957,0.7892156862745099
43,emg,2,0,loss,5,0.9873340013976706,0.8999999999999998
43,emg,2,0,offset,5,0.9948526320873586,0.8999999999999998
43,emg,2,0,abs_gap,5,0.972418234205622,0.8999999999999998
43,emg,2,1,loss,12,0.10659396262824589,-0.04195804195804196
43,emg,2,1,offset,12,0.982726504787466,0.9510489510489512
43,emg,2,1,abs_gap,12,0.45341170904317085,0.7762237762237763
43,emg,3,-1,loss,17,0.28062109917393635,-0.33333333333333337
43,emg,3,-1,offset,17,0.9924789303649322,0.9901960784313727
43,emg,3,-1,abs_gap,17,0.9762042959080867,0.9583333333333335
43,emg,3,0,loss,5,0.965573849670574,0.8999999999999998
43,emg,3,0,offset,5,0.9934551202763048,0.9999999999999999
43,emg,3,0,abs_gap,5,0.975416864343783,0.8999999999999998
43,emg,3,1,loss,12,-0.966505162592872,-0.9510489510489512
43,emg,3,1,offset,12,0.9921311553861101,1.0
43,emg,3,1,abs_gap,12,0.9799781268302624,0.9510489510489512
43,emg,4,-1,loss,17,0.3351001858256194,-0.10049019607843139
43,emg,4,-1,offset,17,0.8952025583232077,0.9166666666666667
43,emg,4,-1,abs_gap,17,0.6933273144648546,0.6764705882352942
43,emg,4,0,loss,5,0.894827109008439,0.7
43,emg,4,0,offset,5,0.9434583393963919,0.9999999999999999
43,emg,4,0,abs_gap,5,0.6985922791969248,0.49999999999999994
43,emg,4,1,loss,12,-0.7998657463302092,-0.8811188811188813
43,emg,4,1,offset,12,0.9076420394451836,0.9020979020979022
43,emg,4,1,abs_gap,12,0.8092958443178793,0.8741258741258742
43,table,-1,-1,loss,85,-0.08272051174407175,-0.7813171780340044
43,table,-1,-1,offset,85,0.5216765002606178,0.4870236466679695
