seed,modality,fold,correct,variable,n,mean,std,min,p05,p25,median,p75,p95,max
42,emg,1,-1,logit0,17,0.00413541951874161,0.34653681110055046,-1.1289244890213013,-0.5050509929656982,-0.1481970846652984,0.1113966703414917,0.2221172302961349,0.3208021163940429,0.3434286117553711
42,emg,1,-1,logit1,17,1.2623083331923493,1.3338289340483704,-0.1697868406772613,-0.11703169345855706,0.2743494808673858,0.8113366365432739,2.027080535888672,3.132363605499266,5.138706684112549
42,emg,1,-1,offset,17,0.6332218763555455,0.5090276287944424,0.07267932593822479,0.08077743053436279,0.23542670905590055,0.442490454763174,0.9355562701821327,1.3136563062667843,2.004891097545624
42,emg,1,-1,gap,17,1.2581729136736077,1.6619080197171958,-0.4849323332309722,-0.3956182479858397,0.004336148500442505,0.7376923635601998,2.1830485314130783,3.637414598464964,6.26763117313385
42,emg,1,-1,abs_gap,17,1.3835713945822243,1.559059826560888,0.004336148500442505,0.008524543046951294,0.19809338613413258,0.7376923635601998,2.1830485314130783,3.637414598464964,6.26763117313385
42,emg,1,-1,quality,17,0.16830997037536952,0.10649110982919183,0.0793267115950584,0.07944785207509991,0.0936245918273925,0.120217278599739,0.2133867740631103,0.31723841428756694,0.5140601992607117
42,emg,1,-1,loss,17,0.6631100348433584,0.6575541681981322,0.0018949197632656123,0.040020347827421254,0.14983428181728575,0.5989976120358946,0.6909814565808599,2.212701973512934,2.3732322671496853
42,emg,1,0,logit0,4,0.08271847106516361,0.21074037246301822,-0.1481970846652984,-0.14179572351276867,-0.1161902789026498,0.08196273818612099,0.2808714881539344,0.30829069167375556,0.3151454925537109
42,emg,1,0,logit1,4,0.9499337766319513,1.0910727530611166,-0.1697868406772613,-0.15989525057375426,-0.12032889015972607,0.8998106457293036,1.970073312520981,2.129935187101364,2.16990065574646
42,emg,1,0,offset,4,0.5163261238485575,0.4419909302568938,0.07267932593822479,0.07419772055000066,0.08027129899710417,0.48021775670349603,0.9162725815549494,1.0090062411502003,1.0321896560490131
42,emg,1,0,gap,4,0.8672153055667877,1.299337748393009,-0.4849323332309722,-0.46818594224750987,-0.4012003783136605,0.8391857780516148,2.107601461932063,2.2418578919023275,2.2754219993948936
42,emg,1,0,abs_gap,4,1.2963263355195522,0.8717103890896111,0.3732897266745566,0.39003611765801893,0.4570216815918683,1.2682968080043793,2.107601461932063,2.2418578919023275,2.2754219993948936
42,emg,1,0,quality,4,0.14700720831751818,0.06814227557206255,0.0793267115950584,0.07935177236795421,0.07945201545953745,0.14096551015973086,0.20852070301771158,0.22312102168798437,0.2267711013555526
42,emg,1,0,loss,4,1.6019090866543975,0.6751552347764461,0.8971099953708975,0.907252198664252,0.94782101183767,1.5686470420485037,2.222735116865231,2.3431328370927944,2.3732322671496853
42,emg,1,1,logit0,13,-0.020043980957080564,0.3753505415978045,-1.1289244890213013,-0.661019366979599,-0.1559679955244064,0.1113966703414917,0.2089266031980514,0.2993794441223143,0.3434286117553711
42,emg,1,1,logit1,13,1.3584235813647796,1.3859883264531572,-0.0023096667136996,0.10685464972630145,0.3338569700717926,0.8113366365432739,2.027080535888672,3.633949375152585,5.138706684112549
42,emg,1,1,offset,13,0.6691898002038494,0.5227114786794257,0.0967370263533667,0.14340856340713795,0.27218140661716456,0.442490454763174,0.9355562701821327,1.4864650040864933,2.004891097545624
42,emg,1,1,gap,13,1.37846756232186,1.7409176259982697,-0.19809338613413258,-0.08498033946380011,0.0102158784866333,0.7376923635601998,2.1830485314130783,4.294968742132182,6.26763117313385
42,emg,1,1,abs_gap,13,1.4104160281399696,1.7151366209287513,0.004336148500442505,0.007477444410324097,0.15932337939739233,0.7376923635601998,2.1830485314130783,4.294968742132182,6.26763117313385
42,emg,1,1,quality,13,0.17486466639316994,0.1149711729591568,0.0794781371951103,0.08385224789381023,0.0965330973267555,0.120217278599739,0.2133867740631103,0.3664438605308529,0.5140601992607117
42,emg,1,1,loss,13,0.37424878813226936,0.26558695070061494,0.0018949197632656123,0.030488990811382347,0.1067871977181527,0.39083608538545267,0.6166551329720599,0.6894162696613468,0.6909814565808599
42,emg,2,-1,logit0,17,-0.062326521420960894,0.19590084645093284,-0.6895439624786377,-0.31696803569793697,-0.0857775956392288,-0.0390623845160007,-0.0043752999044954,0.1841662287712096,0.2826679944992065
42,emg,2,-1,logit1,17,0.4938667519565891,0.8955306560510409,-0.5515072345733643,-0.33485159873962395,-0.0886806547641754,0.1817531585693359,0.6934520602226257,2.4352596282958983,3.0469284057617188
42,emg,2,-1,offset,17,0.2157701152678141,0.38566904252144846,-0.13441962003707889,-0.09762893859297034,-0.0605734512209892,0.07910449616611005,0.2668336257338524,1.1817415155470372,1.1939386911690237
42,emg,2,-1,gap,17,0.55619327337755,1.0419895170764224,-0.8341752290725708,-0.5190178275108337,-0.021137148141860893,0.20529732480645171,0.8532368689775467,2.4887404620647424,3.7364723682403564
42,emg,2,-1,abs_gap,17,0.7342445046421798,0.9251908551484662,0.021137148141860893,0.04392204582691194,0.1029238924384116,0.4402284771203994,0.8532368689775467,2.4887404620647424,3.7364723682403564
42,emg,2,-1,quality,17,0.10446344425573065,0.06541656953331085,0.0608251355588436,0.06093330904841416,0.065660573542118,0.0777510926127433,0.1048349067568779,0.2525908231735229,0.3070486783981323
42,emg,2,-1,loss,17,0.8994318406062554,0.7851852958610608,0.10742108586490806,0.25990631305279727,0.5295004001174393,0.6826344528283489,0.9372934298231306,1.8941506571695803,3.760030724960917
42,emg,2,0,logit0,8,-0.08115739078493786,0.2707563132378799,-0.6895439624786377,-0.5095373965799808,-0.16364847868680948,-0.03130327537655825,0.03666537359822543,0.23957347199320783,0.2826679944992065
42,emg,2,0,logit1,8,0.47585888020694256,1.0818722454775072,-0.5515072345733643,-0.45672039389610286,-0.19959900155663482,0.04653625190258026,0.7646346539258957,2.322867316007613,3.0469284057617188
42,emg,2,0,offset,8,0.19735074471100233,0.4107936386300326,-0.13441962003707889,-0.11832369690528138,-0.07001145678805185,0.00926552247256042,0.3004930876195431,0.9066649597138162,1.1786922216415405
42,emg,2,0,gap,8,0.5570162709918804,1.3462939572135866,-0.8341752290725708,-0.6962938658893107,-0.23626437515486026,0.07783952727913851,0.9282831326127052,2.8324047125875937,3.7364723682403564
42,emg,2,0,abs_gap,8,0.9300908503937535,1.1214747234750067,0.0496182702481747,0.09114859506953508,0.19604207889642558,0.6372018530964851,0.9282831326127052,2.8324047125875937,3.7364723682403564
42,emg,2,0,quality,8,0.10858157975599166,0.07809767780339119,0.0608251355588436,0.061571756191551655,0.06398692540824409,0.07170583307743064,0.10993721149861813,0.2434170849621295,0.3070486783981323
42,emg,2,0,loss,8,1.353510437686672,0.9389567286532645,0.718264030712694,0.7401588994701814,0.7959964428239954,1.0660492525800729,1.26302051826423,2.943708195302207,3.760030724960917
42,emg,2,1,logit0,9,-0.04558797087520358,0.08204411673709514,-0.2238240540027618,-0.1686054706573486,-0.0730309709906578,-0.0402782931923866,-0.0053420145995914,0.061570849083363965,0.1055349484086036
42,emg,2,1,logit1,9,0.509873749067386,0.6884037028854846,-0.0941681191325187,-0.035483649373054496,0.0528684630990028,0.3285019695758819,0.5607810616493225,1.7030187129974363,2.282342433929444
42,emg,2,1,offset,9,0.23214288909609118,0.361086673590152,-0.08359954506158826,-0.04568626582622527,0.0237632242497057,0.1487938594073057,0.25424842722713953,0.8384050302207469,1.1939386911690237
42,emg,2,1,gap,9,0.5554617199425896,0.6631194817660161,-0.021137148141860893,0.010085053183138348,0.05821047769859421,0.3594162203371524,0.613065268844366,1.729227365553379,2.17680748552084
42,emg,2,1,abs_gap,9,0.5601588639741143,0.6591564431380759,0.021137148141860893,0.03544963095337142,0.05821047769859421,0.3594162203371524,0.613065268844366,1.729227365553379,2.17680748552084
42,emg,2,1,quality,9,0.10080287936660973,0.051314196127167505,0.0609603524208068,0.06480239033699028,0.0717334002256393,0.0858002454042434,0.0993658974766731,0.18866824805736535,0.2389763593673706
42,emg,2,1,loss,9,0.49580642097921845,0.18616985405184713,0.10742108586490806,0.18366369945885266,0.4328778568645687,0.5295004001174393,0.6644654393880823,0.6756178359834092,0.6826344528283489
42,emg,3,-1,logit0,17,0.08029189771589111,0.3926559101047892,-0.3696058094501495,-0.29803383946418754,-0.2133079022169113,-0.047315627336502,0.2105947285890579,1.0054265022277833,1.015981674194336
42,emg,3,-1,logit1,17,-0.13413266240454771,0.4011951308631953,-1.110373854637146,-0.8477083921432496,-0.3208846747875213,-0.086073100566864,0.0814308896660804,0.4619762539863584,0.681863009929657
42,emg,3,-1,offset,17,-0.026920382344328298,0.19814866961173494,-0.28378644585609436,-0.2562897503376007,-0.1760708354413509,-0.08904064632952205,0.11696982383728027,0.2845438331365583,0.48069293797016144
42,emg,3,-1,gap,17,-0.21442456012043884,0.687910468347089,-2.113161563873291,-1.8610512733459472,-0.3218770325183869,-0.028291344642639188,0.2064888551831246,0.3697254180908202,0.4023401439189911
42,emg,3,-1,abs_gap,17,0.4494816371075371,0.5631740071660654,0.028291344642639188,0.06993158757686616,0.1986915729939937,0.2930750846862793,0.3615717366337775,1.861051273345947,2.113161563873291
42,emg,3,-1,quality,17,0.07236972516950436,0.02497873253099134,0.0420059189200401,0.04390771538019178,0.0522396638989448,0.0610045790672302,0.0866624563932418,0.11741798669099808,0.1193939819931984
42,emg,3,-1,loss,17,0.786812734356128,0.40506697493792176,0.15325818851926032,0.4403130629306635,0.5987280906177526,0.7494861149685104,0.8669807769190176,1.1575999699086656,2.2272535918108733
42,emg,3,0,logit0,10,0.06697083413600922,0.37767094473750856,-0.3696058094501495,-0.3293465763330459,-0.21076465398073194,0.008346460759639754,0.19132692739367482,0.6993019551038735,1.002787709236145
42,emg,3,0,logit1,10,-0.1790002047084272,0.38801147069938335,-1.110373854637146,-0.8043514147400856,-0.3427848070859909,-0.09800865128636355,0.05860046506859358,0.26926757320761646,0.407004565000534
42,emg,3,0,offset,10,-0.05601468528620899,0.18017581146661668,-0.28378644585609436,-0.2683195546269417,-0.22294312715530393,-0.07657402567565441,0.11976632382720709,0.20118753185961386,0.23550655692815775
42,emg,3,0,gap,10,-0.2459710388444364,0.6756650025240512,-2.113161563873291,-1.3144584390800444,-0.31467654556036,-0.17657004669308657,0.2055766955018043,0.35321266241371624,0.3615717366337775
